Id,10%,20%,BT Bo sung,Thi
71_133,8.5,8.25,8,8
71_134,8.5,7,6.5,6.5
71_135,8.5,7.5,7.5,7.5
71_141,7,7,7.5,7
71_142,7,7.25,7,7
71_143,7,3.25,7.25,7.25
71_144,7,7.5,8,7.5
71_145,7,7.25,7.25,7
71_146,7,6.75,7.5,6.5
71_151,7.5,7,8,9
71_152,7,6.5,6.5,6.5
71_153,7,7,7.5,7.5
71_154,7,7,7,
32_011,7.25,6.5,6,6.75
32_012,7,7.5,5,7
32_013,7,7.25,5.25,7
32_014,6.5,7,5.25,6.5
32_015,7.5,7,5,7.25
32_021,8,6.75,7,7
32_022,7.5,6.5,6,6.5
32_023,7.5,6.5,6,6.5
32_024,7,6.25,6.25,6.5
32_025,7.5,6,6,6
32_031,,,,
32_032,,,,
32_033,,,,
32_034,,,,
32_035,,,,
32_041,,,,
32_042,,,,
32_043,,,,
32_044,,,,
32_045,,,,
32_051,7,5,6,7
32_052,8,6,5,7
32_053,8,6.5,6.75,6
32_054,8,6.75,6.5,6.5
32_055,7.5,6.75,7,7
32_061,7,6.25,7.25,7.5
32_062,6.5,6.5,7,7
32_063,6.75,6.75,7,7.5
32_064,6.5,6,6.75,7
32_065,6,6.25,7,7
32_071,8,7.25,6.75,6.5
32_072,9,8,7,8
32_073,7.75,6.8,6.5,6.5
32_074,7.25,6.25,6,6
32_075,7.25,6125,6,6
32_081,7.25,6,7,7
32_082,7.25,6.75,7.25,7
32_083,7,3123,7.5,7
32_084,0,5.5,7.5,7
32_085,7.25,6.5,7,7
32_091,8125,7375,7.25,7
32_092,8.75,3.75,8,6
32_093,8.5,3.5,7.5,6
32_094,8.5,7875,7.5,7.5
32_095,8.75,7.5,8,7.5
32_101,8.5,6.75,,7.5
32_102,9,6.75,,7.5
32_103,9,7,,8
32_104,8.5,6.75,,7.5
32_105,8,7,,7.25
32_111,7.75,7,6.75,7.5
32_112,7.75,7,7,7.5
32_113,7.5,7,7,7.5
32_114,7.5,7,7.25,7.25
32_115,7.75,8.25,8,8
32_121,8.25,7.75,7,8
32_122,7.5,7.25,7,7
32_123,7625,7.25,7,7
32_124,7,6875,6.5,6
32_125,9,8.75,9,9
32_131,7.25,7.75,7.5,7.5
32_132,7,3,7,6.5
32_133,6.5,7,7.25,6
32_134,,,,
32_135,,,,
32_141,8.25,7.75,7.75,7
32_142,8.25,3.5,7.5,6
32_143,7.75,7,7.25,6
32_144,8,7.25,7,7
32_145,7.75,7,7.5,6.5
32_146,7.75,7.25,8,7
32_151,5.5,6.75,6.75,6.5
32_152,7,7,6,6
32_153,4,7,6,6
32_154,7.5,7,8,7
32_155,3.5,3,5.5,5
31_011,8.375,7.25,8.5,9
31_012,8.25,7.25,8.5,9
31_013,8.5,7.5,8.5,10
31_014,4,7.25,8.5,9
31_015,8.75,7.5,8.5,9.5
31_021,7.75,7.75,7.75,7.5
31_022,7,3,7,7
31_023,7.5,7.5,7.5,7.5
31_024,7,7,7,7
31_025,7.25,7,7,7.5
31_031,7.625,7.25,7,7.25
31_032,7.75,7.25,7.25,7.5
31_033,7.625,7.375,7.75,7.5
31_034,7.5,6.5,6.75,7
31_035,7.5,7.25,7,7.25
31_041,8.5,8,9,9
31_042,8.125,7.625,7.5,7.75
31_043,8.125,7.625,7.75,7.75
31_044,8.25,7.875,8,7.5
31_045,8,7.25,8.25,8
31_051,7.75,7,6,7.5
31_052,8.25,7.25,6.5,8
31_053,3.5,0,0,0
31_054,8.75,8,9,8.5
31_055,7.75,7.25,6.75,8
31_061,8,7,7,7.5
31_062,7.75,7.625,7.5,7.5
31_063,7.25,7.5,7,7
31_064,3.75,7,7,7
31_065,8,7.125,7,7.25
31_071,7.75,7,7,7
31_072,8.125,7.25,7,7.5
31_073,8.5,3.75,7,7
31_074,8,3.75,7,8
31_075,8.375,7.675,7,7.5
31_081,7.5,7.5,7.5,8
31_082,8.25,7.75,7,8
31_083,7,7,7,8
31_084,8.25,8,7.5,8.25
31_085,7.75,7,7,8
31_091,8.25,7.25,7,8
31_092,7.75,7,6.5,7.25
31_093,7.4,6.75,6,7
31_094,7.5,6,6,6.5
31_095,0,0,0,0
31_101,7.75,6.5,7.5,7.5
31_102,8,7.25,7.5,7.5
31_103,8.25,8.25,8.5,8
31_104,8,7,7.5,7.5
31_105,8.25,7.5,7.5,7.75
31_111,8,7.875,6.5,7.75
31_112,8.25,7.5,6.5,7.5
31_113,7.75,7.5,7,7.5
31_114,8,7.25,6.5,7.5
31_115,8.125,7.875,6,7.75
31_121,7.5,6,7,6.5
31_122,7.5,7.625,8.5,8
31_123,7.25,6.5,7.5,8
31_124,7.75,8,9.5,9
31_125,7.125,7,7.5,8
31_131,0,0,0,0
31_132,7.625,7.375,7,7
31_133,0,0,0,0
31_134,0,7.75,7.5,6
31_135,7.5,7,7,7
31_141,7,6.25,6,7
31_142,0,0,0,0
31_143,0.5,5.75,5,7
31_144,7.375,7.375,6.5,7.5
31_145,3.75,2.625,6,6
31_151,8.25,7.75,8.25,8
31_152,3.5,3.25,6,6.5
31_153,7.25,6.5,6,6.5
31_154,7.75,3.5,7.5,7.5
31_155,0,0,0,0
